#wavelength (nm), radius_ratio (rr), error of rr (+), error of rr (-)
2.869931472166445474e+03,1.508057841758177198e-01,1.236120468655232951e-03,1.617778850566770066e-03
2.870609888512159159e+03,1.489275450368853781e-01,1.224967844723423571e-03,1.594692449200074691e-03
2.871288301740104544e+03,1.498023944737792434e-01,1.297396997661348639e-03,1.542242482507782952e-03
2.871966711847115675e+03,1.505180360312318166e-01,1.179613134249302142e-03,1.529582703439918978e-03
2.872645118830037973e+03,1.475429051735990260e-01,1.623960423192322144e-03,1.440369680173136935e-03
2.873323522685790067e+03,1.474682158774573704e-01,1.365549086528028422e-03,1.576990470945366374e-03
2.874680321003125755e+03,1.475058312407957484e-01,1.611227438807760759e-03,1.049179843613995411e-03
2.875358715458507504e+03,1.495939210782144257e-01,1.377253356133700812e-03,1.640589873149717048e-03
2.876037106774130280e+03,1.480416278018428788e-01,1.460640752883074489e-03,1.162100810106619919e-03
2.876715494946950457e+03,1.468148602717109230e-01,1.343530706912371420e-03,1.530726797964260255e-03
2.877393879973820276e+03,1.498374954874054088e-01,1.548305893698642688e-03,1.222315567683956994e-03
2.878072261851594703e+03,1.481721770478726108e-01,1.603961566370826208e-03,1.374361109009708537e-03
2.878750640577211925e+03,1.487501815857534826e-01,1.468096829000398174e-03,1.658246973130966806e-03
2.879429016147505536e+03,1.478701168836019930e-01,1.558324227546870056e-03,1.411345906816491302e-03
2.880107388559386891e+03,1.467458659959581802e-01,1.365136374043118828e-03,1.313118831452381174e-03
2.880785757809775077e+03,1.505932426246403000e-01,1.389259001823739403e-03,1.461152822696959452e-03
2.881464123895482771e+03,1.489606788930054881e-01,1.241916955951355428e-03,1.440807843814090328e-03
2.882142486813481355e+03,1.488242145529035665e-01,1.483160172350755923e-03,1.469173646024696245e-03
2.882820846560642622e+03,1.490425803025857421e-01,1.533403115324627475e-03,1.210476594237175352e-03
2.883499203133837455e+03,1.480569844436888105e-01,1.437380769300694583e-03,1.491824142456688040e-03
2.885534253778819220e+03,1.474271593057145391e-01,1.305976114520740472e-03,1.380631113663349785e-03
2.886212597625299168e+03,1.471587307058112581e-01,1.444991368182574343e-03,1.431484343608097065e-03
2.886890938282311708e+03,1.459912338153431799e-01,1.310058752618054045e-03,1.645195570473823032e-03
2.887569275746843687e+03,1.494903083516511688e-01,1.417764024828793712e-03,1.430108018680625870e-03
2.888247610015770988e+03,1.488493697902251722e-01,1.221093405423756550e-03,1.247123533813676577e-03
2.888925941085999057e+03,1.493112883625078990e-01,1.331700540655372800e-03,1.690261824439903693e-03
2.889604268954487907e+03,1.486515047685966762e-01,1.462135873116859885e-03,1.696604473946622393e-03
2.890282593618093415e+03,1.488097216614065466e-01,1.582233148938794187e-03,1.171240027453918087e-03
2.890960915073784690e+03,1.501442305897011109e-01,1.446129625104319860e-03,1.271744147207071185e-03
2.891639233318483093e+03,1.482480430637170277e-01,1.330522194527172797e-03,1.397983112282563667e-03
2.892317548349064054e+03,1.471193954840613605e-01,1.213554464877003580e-03,1.265428167009197136e-03
2.892995860162521240e+03,1.492362508981243674e-01,1.480625779820499144e-03,1.402859825419072726e-03
2.893674168755733263e+03,1.497490170960565914e-01,1.616786955431270822e-03,1.203015623859604588e-03
2.894352474125647404e+03,1.488122432483127144e-01,1.411043936935613141e-03,1.227028348012110248e-03
2.895030776269225044e+03,1.498344042006798660e-01,1.286369769467360369e-03,1.146361722459521282e-03
